IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,DST_TO_SRC_SECOND_BYTES,SRC_TO_DST_SECOND_BYTES,Label,Attack
192.168.4.60,49725,192.168.4.1,53,17,53,0,0,77,1,0,0,0,64,64,77,77,77,77,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,37658,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,62039,17,62039,297,1,0,0,0,0,0,64,64,297,297,297,297,0,0,0,0,297,0,0,0,1,0,0,0,0,0,0,51052,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,55748,192.168.4.1,53,17,53,0,0,82,1,0,0,0,64,64,82,82,82,82,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,40269,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,55748,17,55748,196,1,0,0,0,0,0,64,64,196,196,196,196,0,0,0,0,196,0,0,1,0,0,0,0,0,0,0,40269,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,55353,157.240.225.61,5222,6,5222,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,2045,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
93.44.176.136,6885,192.168.4.60,51413,17,51413,189,1,0,0,0,0,0,52,52,189,189,189,189,0,0,0,0,189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,61019,192.168.4.1,53,17,53,0,0,75,1,0,0,0,64,64,75,75,75,75,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,20501,1,0,0,0.0,0,0,20838,31403,1,Scanning
163.172.98.4,9002,192.168.4.60,51413,17,51413,122,1,0,0,0,0,0,55,55,122,122,122,122,0,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,53798,192.168.4.1,53,17,53,0,0,81,1,0,0,0,64,64,81,81,81,81,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,12566,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,57452,192.168.4.1,53,17,53,0,0,75,1,0,0,0,64,64,75,75,75,75,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,33867,1,0,0,0.0,0,0,20838,31403,1,Scanning
